Test Name,detect/moda,detect/modp,detect/precision,detect/recall,track/idf1,track/mota,track/motp
wild_0246_mvdet_1_res18,86.029,80.681,94.559,91.282,0.883,0.838,0.136
wild_0246_mvdet_1_res18_1345,87.29,77.005,94.439,92.752,0.862,0.859,0.163
wild_0246_segnet_1_res18,83.298,81.688,96.051,86.87,0.829,0.797,0.142
wild_0246_segnet_1_res18_1345,58.929,75.114,84.083,72.689,0.629,0.609,0.216
wild_0246_segnet_1_res18_Z8,85.294,81.55,94.714,90.336,0.887,0.838,0.139
wild_0246_segnet_1_res18_Z8_1345,70.168,73.179,87.955,81.303,0.703,0.71,0.186
wild_0246_segnet_2_res18,82.458,81.878,95.481,86.555,0.822,0.789,0.144
wild_0246_segnet_2_res18_1345,65.126,79.652,82.979,81.933,0.737,0.72,0.195
wild_0246_segnet_2_res18_Z16,86.555,81.92,95.575,90.756,0.87,0.838,0.146
wild_0246_segnet_2_res18_Z16_1345,82.248,79.935,91.081,91.176,0.792,0.811,0.184
wild_0246_segnet_2_res18_Z8,86.45,82.097,94.777,91.492,0.91,0.851,0.14
wild_0246_segnet_2_res18_Z8_1345,81.092,79.411,90.208,90.966,0.822,0.817,0.181
wild_026_mvdet_1_res18,84.454,81.034,94.966,89.181,0.873,0.812,0.145
wild_026_mvdet_1_res18_135,66.912,67.035,88.794,76.576,0.627,0.621,0.27
wild_026_mvdet_2_res18,84.769,80.949,94.883,89.601,0.826,0.815,0.142
wild_026_mvdet_2_res18_135,75.105,70.904,91.045,83.298,0.715,0.693,0.19
wild_026_segnet_1_res18,82.143,80.438,95.15,86.555,0.821,0.788,0.141
wild_026_segnet_1_res18_135,8.467,63.111,65.992,17.471,0.216,0.117,0.343
wild_026_segnet_1_res18_Z16,84.139,81.799,94.749,89.076,0.868,0.807,0.146
wild_026_segnet_1_res18_Z16_135,22.059,60.847,69.373,39.496,0.392,0.299,0.386
wild_026_segnet_1_res18_Z4,84.034,81.555,95.977,87.71,0.842,0.793,0.137
wild_026_segnet_1_res18_Z4_135,25.42,60.883,71.685,42.017,0.364,0.3,0.386
wild_026_segnet_1_res18_Z8,85.189,80.406,94.414,90.546,0.856,0.833,0.135
wild_026_segnet_1_res18_Z8_135,17.227,51.15,63.099,41.492,0.406,0.335,0.418
wild_026_segnet_2_res18,80.777,81.431,95.076,85.189,0.818,0.782,0.16
wild_026_segnet_2_res18_135,44.013,68.263,74.503,66.912,0.487,0.484,0.308
wild_026_segnet_2_res18_512,79.832,81.325,94.706,84.559,0.793,0.778,0.13
wild_026_segnet_2_res18_512_135,14.181,67.28,68.392,26.366,0.264,0.169,0.311
wild_026_segnet_4_res18_Z8,55.567,80.593,89.185,63.235,0.574,0.526,0.15
wild_026_segnet_4_res18_Z8_135,2.368,55.784,58.73,7.966,0.09,0.05,0.476
wild_026_segnet_res18_512,80.672,80.707,94.755,85.399,0.808,0.783,0.126
wild_026_segnet_res18_512_135,8.508,62.636,62.09,21.849,0.234,0.111,0.372
wild_02_mvdet_2_res18,83.298,80.291,96.923,86.029,0.822,0.792,0.129
wild_02_mvdet_2_res18_15,68.592,68.905,89.29,77.941,0.607,0.612,0.262
wild_02_segnet_1_res18_Z8,84.559,79.837,96.318,87.92,0.852,0.801,0.138
wild_02_segnet_1_res18_Z8_15,11.45,52.269,61.926,29.727,0.273,0.204,0.438
wild_02_segnet_2_res18_Z8,86.345,80.284,95.973,90.126,0.847,0.837,0.146
wild_02_segnet_2_res18_Z8_15,50.525,59.389,79.509,68.067,0.574,0.6,0.343
wild_02_segnet_3_res18_Z8,86.45,79.333,96.921,89.286,0.849,0.827,0.138
wild_02_segnet_3_res18_Z8_15,14.601,50.597,61.156,40.021,0.412,0.351,0.441
wild_02_segnet_4_res18_Z8,86.134,81.142,96.38,89.496,0.859,0.829,0.137
wild_02_segnet_4_res18_Z8_15,14.706,42.158,65.284,31.408,0.351,0.269,0.421
wild_1345_mvdet_1_res18,86.975,80.887,97.696,89.076,0.834,0.834,0.149
wild_1345_mvdet_1_res18_0246,75.945,81.036,96.169,79.097,0.781,0.724,0.131
wild_1345_mvdet_2_res18,90.336,80.557,96.739,93.487,0.908,0.882,0.138
wild_1345_mvdet_2_res18_0246,79.307,80.321,94.464,84.244,0.84,0.757,0.16
wild_1345_segnet_1_res18,81.408,81.087,95.111,85.819,0.79,0.777,0.168
wild_1345_segnet_1_res18_0246,68.803,79.714,94.197,73.319,0.692,0.646,0.17
wild_1345_segnet_2_res18,80.252,80.853,94.522,85.189,0.718,0.768,0.14
wild_1345_segnet_2_res18_0246,74.685,81.86,95.402,78.466,0.755,0.706,0.148
wild_135_mvdet_1_res18,88.971,77.951,96.899,91.912,0.826,0.847,0.162
wild_135_mvdet_1_res18_026,75.21,75.536,93.447,80.882,0.757,0.723,0.175
wild_135_mvdet_2_res18,88.13,77.974,96.354,91.597,0.864,0.858,0.16
wild_135_mvdet_2_res18_026,72.164,75.418,94.323,76.786,0.733,0.679,0.163
wild_135_segnet_1_res18,72.584,78.026,92.707,78.782,0.741,0.691,0.205
wild_135_segnet_1_res18_026,62.605,76.141,90.489,69.958,0.677,0.595,0.188
wild_135_segnet_1_res18_Z16,86.975,78.996,95.796,90.966,0.803,0.842,0.146
wild_135_segnet_1_res18_Z16_026,76.05,74.919,94.691,80.567,0.719,0.699,0.184
wild_135_segnet_1_res18_Z4,80.042,79.24,94.824,84.664,0.769,0.741,0.15
wild_135_segnet_1_res18_Z4_026,58.193,74.041,83.946,71.954,0.632,0.597,0.19
wild_135_segnet_1_res18_Z8,88.445,79.194,95.464,92.857,0.855,0.837,0.155
wild_135_segnet_1_res18_Z8_026,71.954,74.327,92.974,77.836,0.656,0.667,0.235
wild_135_segnet_2_res18,67.227,78.72,91.667,73.95,0.666,0.647,0.181
wild_135_segnet_2_res18_026,70.903,78.846,93.888,75.84,0.737,0.675,0.155
wild_135_segnet_2_res18_512,68.908,78.61,92.051,75.42,0.67,0.661,0.202
wild_135_segnet_2_res18_512_026,64.076,77.636,95.934,66.912,0.586,0.571,0.222
wild_135_segnet_4_res18_Z8,87.185,79.571,96.009,90.966,0.827,0.842,0.156
wild_135_segnet_4_res18_Z8_026,73.739,75.257,92.494,80.252,0.781,0.711,0.184
wild_135_segnet_res18_512,67.122,78.528,91.44,74.055,0.691,0.639,0.175
wild_135_segnet_res18_512_026,54.517,74.83,87.773,63.34,0.62,0.543,0.226
wild_13_mvdet_2_res18,75.105,73.621,96.978,77.521,0.731,0.685,0.148
wild_13_mvdet_2_res18_46,58.929,77.455,93.76,63.13,0.601,0.526,0.191
wild_13_segnet_1_res18_Z8,75.735,74.87,96.636,78.466,0.763,0.706,0.167
wild_13_segnet_1_res18_Z8_46,53.151,75.415,93.027,57.458,0.621,0.496,0.165
wild_13_segnet_2_res18_Z8,76.471,77.419,96.429,79.412,0.756,0.712,0.156
wild_13_segnet_2_res18_Z8_46,53.466,76.49,95.044,56.408,0.582,0.47,0.157
wild_13_segnet_3_res18_Z8,76.471,77.406,97.15,78.782,0.72,0.706,0.15
wild_13_segnet_3_res18_Z8_46,54.622,74.665,94.674,57.878,0.567,0.487,0.201
wild_13_segnet_4_res18_Z8,78.782,75.641,96.642,81.618,0.776,0.734,0.176
wild_13_segnet_4_res18_Z8_46,56.303,76.037,94.224,59.979,0.619,0.516,0.179
wild_25_mvdet_2_res18,81.197,79.012,96.399,84.349,0.735,0.756,0.134
wild_25_mvdet_2_res18_01,61.555,54.858,87.089,72.269,0.625,0.626,0.322
wild_25_segnet_1_res18_Z8,80.462,77.686,94.535,85.399,0.782,0.776,0.139
wild_25_segnet_1_res18_Z8_01,26.471,60.635,78.251,36.66,0.351,0.27,0.38
wild_25_segnet_2_res18_Z8,81.618,77.871,94.299,86.87,0.804,0.792,0.147
wild_25_segnet_2_res18_Z8_01,45.903,69.982,91.778,50.42,0.427,0.382,0.292
wild_25_segnet_3_res18_Z8,82.353,78.683,94.444,87.5,0.819,0.794,0.152
wild_25_segnet_3_res18_Z8_01,27.731,52.554,84.555,33.929,0.286,0.237,0.321
wild_25_segnet_4_res18_Z8,82.458,77.499,96.56,85.504,0.811,0.786,0.142
wild_25_segnet_4_res18_Z8_01,19.328,56.167,75.843,28.361,0.289,0.207,0.466
